nearest_astr	nearest_epr	
0,170270	0,465005	
0,210651	0,611346	
0,312458	0,830078	
0,217868	0,318111	
0,355983	0,897929	
0,215834	0,884495	
0,321308	1,444110	
0,377511	0,593870	
0,181015	1,354440	
0,319465	0,438115	
0,226825	0,798960	
0,624702	1,184195	
0,364293	0,956601	
0,189881	1,412707	
0,231147	0,506629	
0,295509	0,873023	
0,210484	0,333512	
0,101156	0,190512	
0,294862	1,006631	
0,268708	0,446281	
0,223759	0,547972	
0,133653	0,630977	
0,191078	0,341546	
0,184282	0,980005	
0,071603	0,597814	
0,358046	0,560018	
0,225150	1,168463	
0,145292	1,124087	
0,094852	0,234474	
0,306439	0,536991	
0,076936	0,371230	
0,291156	0,432697	
0,269653	1,019650	
0,074159	0,707721	
0,145672	1,562431	
0,334872	1,198097	
0,676623	1,191034	
0,168017	0,680521	
0,451921	0,789831	
0,327394	1,308773	
0,212853	0,558763	
0,201446	0,587612	
0,263673	0,853561	
0,188286	0,679102	
0,140949	1,138273	
0,123432	1,131660	
0,334187	2,067534	
0,203574	0,852864	
0,160740	1,103007	
0,100316	1,770060	
0,442798	1,465013	
0,150432	0,307001	
0,267300	1,131597	
